_start,_stop,_time,_value,_field,_measurement,deviceName
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T08:00:00Z,808.5,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T14:30:00Z,677,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T15:00:00Z,677.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T15:30:00Z,664,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T02:00:00Z,649,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T02:30:00Z,662,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T05:00:00Z,1255,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T05:30:00Z,1198.333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T06:00:00Z,1096.333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T06:30:00Z,1022.333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T07:30:00Z,913,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T08:00:00Z,898.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T08:30:00Z,891.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T09:00:00Z,866.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T09:30:00Z,855.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T10:00:00Z,833.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T10:30:00Z,838.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T01:30:00Z,638.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T02:00:00Z,640,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T02:30:00Z,654,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T03:00:00Z,676.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T03:30:00Z,738.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T04:00:00Z,793.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T04:30:00Z,817,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T05:00:00Z,838,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T05:30:00Z,848.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T06:00:00Z,871,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T06:30:00Z,853.5,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T09:30:00Z,795,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T10:00:00Z,771,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T04:30:00Z,914,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T05:00:00Z,916.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T05:30:00Z,898,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T06:00:00Z,856.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T06:30:00Z,803,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T07:00:00Z,785,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T07:30:00Z,774.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T08:00:00Z,770.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T08:30:00Z,772.3333333,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T09:00:00Z,764.6666667,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T09:30:00Z,750.5,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T10:00:00Z,739,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-09T14:30:00Z,528,carbon dioxide,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T08:00:00Z,80,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T14:30:00Z,82.25,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T15:00:00Z,81,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T15:30:00Z,81.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T02:00:00Z,82,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T02:30:00Z,81.75,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T05:00:00Z,77,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T05:30:00Z,76.66666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T06:00:00Z,78.66666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T06:30:00Z,78.16666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T07:30:00Z,78.75,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T08:00:00Z,79.16666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T08:30:00Z,79.16666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T09:00:00Z,78.33333333,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T09:30:00Z,79.16666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T10:00:00Z,79.33333333,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T10:30:00Z,79.66666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T01:30:00Z,80.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T02:00:00Z,80.75,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T02:30:00Z,81,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T03:00:00Z,81.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T03:30:00Z,81.33333333,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T04:00:00Z,81.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T04:30:00Z,81,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T05:00:00Z,79.83333333,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T05:30:00Z,79.83333333,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T06:00:00Z,78.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T06:30:00Z,79,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T09:30:00Z,80.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T10:00:00Z,81.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T04:30:00Z,79.25,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T05:00:00Z,79.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T05:30:00Z,81,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T06:00:00Z,80,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T06:30:00Z,80.16666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T07:00:00Z,79.83333333,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T07:30:00Z,79.66666667,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T08:00:00Z,80,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T08:30:00Z,81.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T09:00:00Z,80.5,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T09:30:00Z,81.75,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T10:00:00Z,81.25,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-09T14:30:00Z,81,humidity,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T08:00:00Z,23,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T14:30:00Z,22.9,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T15:00:00Z,23.16666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T15:30:00Z,23,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T02:00:00Z,22.95,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T02:30:00Z,23,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T05:00:00Z,23.9,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T05:30:00Z,24,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T06:00:00Z,23.83333333,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T06:30:00Z,23.76666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T07:30:00Z,23.7,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T08:00:00Z,23.56666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T08:30:00Z,23.73333333,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T09:00:00Z,23.6,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T09:30:00Z,23.5,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T10:00:00Z,23.66666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T10:30:00Z,23.53333333,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T01:30:00Z,23.06666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T02:00:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T02:30:00Z,23.16666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T03:00:00Z,23.16666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T03:30:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T04:00:00Z,23.2,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T04:30:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T05:00:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T05:30:00Z,23.06666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T06:00:00Z,22.96666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T06:30:00Z,22.95,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T09:30:00Z,23,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T10:00:00Z,22.95,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T04:30:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T05:00:00Z,23.06666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T05:30:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T06:00:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T06:30:00Z,23.06666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T07:00:00Z,23.03333333,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T07:30:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T08:00:00Z,22.96666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T08:30:00Z,23.06666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T09:00:00Z,23.06666667,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T09:30:00Z,23.1,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T10:00:00Z,23.05,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-09T14:30:00Z,23.6,temperature,iaq-data,AM103-Sensor_4
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T08:00:00Z,1196,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T08:30:00Z,1208,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T14:30:00Z,1033,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T15:00:00Z,1030.333333,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-05T15:30:00Z,1014.5,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T02:00:00Z,1003,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T02:30:00Z,1020,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T05:00:00Z,1695,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T05:30:00Z,1721,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T06:00:00Z,1569.666667,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T06:30:00Z,1452.5,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T07:30:00Z,1359,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T08:00:00Z,1317,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T08:30:00Z,1278,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T09:00:00Z,1274,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T09:30:00Z,1262.666667,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T10:00:00Z,1248.333333,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T10:30:00Z,1238,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-06T11:00:00Z,1253,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T01:30:00Z,1006,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T02:00:00Z,991.3333333,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T02:30:00Z,992.6666667,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T03:00:00Z,1043.666667,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T03:30:00Z,1100.666667,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T04:00:00Z,1161.666667,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T04:30:00Z,1217.333333,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T05:00:00Z,1221,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T05:30:00Z,1245.333333,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T06:00:00Z,1256.666667,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T06:30:00Z,1273,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T09:30:00Z,1159,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T10:00:00Z,1158.666667,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-07T10:30:00Z,1184,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T04:30:00Z,1327,carbon dioxide,iaq-data,AM103L-Sensor_5
2024-03-02T14:32:08.854677718Z,2024-03-09T14:32:08.854677718Z,2024-03-08T05:00:00Z,1332.666667,carbon dioxide,iaq-data,AM103L-Sensor_5
